date,iron buy
2022-12-18,103522
2022-12-19,161875
2022-12-20,371355
2022-12-21,100188
2022-12-22,139867
2022-12-23,101496
2022-12-24,142184
2022-12-25,155438
2022-12-26,145998
2022-12-27,163110
2022-12-28,90555
2022-12-29,149753
2022-12-30,46653
2022-12-31,146061
2023-01-01,74097
2023-01-02,105853
2023-01-03,140968
2023-01-04,133612
2023-01-05,125420
2023-01-06,144912
2023-01-07,140060
2023-01-08,73717
2023-01-09,170093
2023-01-10,180755
2023-01-11,75058
2023-01-12,133418
2023-01-13,69830
2023-01-14,59087
2023-01-15,122131
2023-01-16,110921
2023-01-17,126964
2023-01-18,145325
2023-01-19,161775
2023-01-20,124173
2023-01-21,113180
2023-01-22,127314
2023-01-23,145790
2023-01-24,77959
2023-01-25,98797
2023-01-26,233353
2023-01-27,115104
2023-01-28,254328
2023-01-29,171269
