date,oil buy
2022-07-04,2607
2022-07-05,2578
2022-07-06,2451
2022-07-07,2380
2022-07-08,2400
2022-07-09,2557
2022-07-10,2526
2022-07-11,2451
2022-07-12,2632
2022-07-13,2626
2022-07-14,2558
2022-07-15,2542
2022-07-16,2508
2022-07-17,2518
2022-07-18,2477
2022-07-19,2462
2022-07-20,2477
2022-07-21,2468
2022-07-22,2348
2022-07-23,2361
2022-07-24,2287
2022-07-25,2179
2022-07-26,2543
2022-07-27,2616
2022-07-28,2604
2022-07-29,2442
2022-07-30,2390
2022-07-31,2304
2022-08-01,2314
2022-08-02,2513
2022-08-03,2485
2022-08-04,2456
2022-08-05,2462
2022-08-06,2487
2022-08-07,2473
2022-08-08,2483
2022-08-09,2430
2022-08-10,2430
2022-08-11,2427
2022-08-12,2627
2022-08-13,2562
2022-08-14,2566
2022-08-15,2596
2022-08-16,2578
2022-08-17,2494
2022-08-18,2481
2022-08-19,2463
2022-08-20,2456
2022-08-21,2475
2022-08-22,2482
2022-08-23,2468
2022-08-24,2426
2022-08-25,2391
2022-08-26,2404
2022-08-27,2517
2022-08-28,2512
2022-08-29,2435
2022-08-30,2421
2022-08-31,2499
2022-09-01,2416
2022-09-02,2438
2022-09-03,2414
2022-09-04,2543
2022-09-05,2526
2022-09-06,2434
2022-09-07,2402
2022-09-08,2416
2022-09-09,2385
2022-09-10,2354
2022-09-11,2321
2022-09-12,2395
2022-09-13,2443
2022-09-14,2355
2022-09-15,2343
2022-09-16,2416
2022-09-17,2392
2022-09-18,2368
2022-09-19,2279
2022-09-20,2189
2022-09-21,2283
2022-09-22,2229
2022-09-23,2178
2022-09-24,2170
2022-09-25,2108
2022-09-26,2439
2022-09-27,2363
2022-09-28,2302
2022-09-29,2204
2022-09-30,2233
2022-10-01,2196
2022-10-02,2168
2022-10-03,2210
2022-10-04,2085
2022-10-05,2100
2022-10-06,2021
2022-10-07,2014
2022-10-08,2091
2022-10-09,2199
2022-10-10,2245
2022-10-11,2143
2022-10-12,2027
2022-10-13,2023
2022-10-14,1993
2022-10-15,1973
2022-10-16,1966
2022-10-17,1988
2022-10-18,1981
2022-10-19,1987
2022-10-20,2068
2022-10-21,2010
2022-10-22,2033
2022-10-23,2030
2022-10-24,2022
2022-10-25,2044
2022-10-26,2056
2022-10-27,2081
2022-10-28,2264
2022-10-29,2162
2022-10-30,2080
2022-10-31,2052
2022-11-01,2054
2022-11-02,2061
2022-11-03,2056
2022-11-04,2052
2022-11-05,1983
2022-11-06,1960
2022-11-07,2002
2022-11-08,2060
2022-11-09,2061
2022-11-10,2012
2022-11-11,1990
2022-11-12,1927
2022-11-13,1912
2022-11-14,1922
2022-11-15,1951
2022-11-16,1931
2022-11-17,1915
2022-11-18,1921
2022-11-19,1919
2022-11-20,1940
2022-11-21,1954
2022-11-22,1947
2022-11-23,1946
2022-11-24,1944
2022-11-25,1894
2022-11-26,1855
2022-11-27,1912
2022-11-28,1904
2022-11-29,1870
2022-11-30,1900
2022-12-01,1912
2022-12-02,1912
2022-12-03,1918
2022-12-04,1927
2022-12-05,1918
2022-12-06,1943
2022-12-07,1997
2022-12-08,1962
2022-12-09,1912
2022-12-10,1960
2022-12-11,1960
2022-12-12,1971
2022-12-13,1953
2022-12-14,1904
2022-12-15,1938
2022-12-16,1810
2022-12-17,1702
2022-12-18,1779
2022-12-19,1799
2022-12-20,1727
2022-12-21,1747
2022-12-22,3077
2022-12-23,1754
2022-12-24,1600
2022-12-25,1604
2022-12-26,1583
2022-12-27,1598
2022-12-28,1613
2022-12-29,1609
2022-12-30,1576
2022-12-31,1474
2023-01-01,1554
2023-01-02,1561
2023-01-03,1349
2023-01-04,1615
2023-01-05,1444
2023-01-06,1374
2023-01-07,1578
2023-01-08,1489
2023-01-09,1568
2023-01-10,1643
2023-01-11,1659
2023-01-12,1559
2023-01-13,1554
2023-01-14,1705
2023-01-15,1690
2023-01-16,1553
2023-01-17,1715
2023-01-18,1677
2023-01-19,1617
2023-01-20,1646
2023-01-21,1614
2023-01-22,1610
2023-01-23,1638
2023-01-24,1496
2023-01-25,1614
2023-01-26,1751
2023-01-27,1671
2023-01-28,2031
2023-01-29,2120
2023-01-30,1928
2023-01-31,1874
2023-02-01,1913
2023-02-02,2011
2023-02-03,2021
2023-02-04,1973
2023-02-05,1789
2023-02-06,1714
2023-02-07,1704
2023-02-08,1724
2023-02-09,1763
2023-02-10,1773
2023-02-11,1695
2023-02-12,1680
2023-02-13,1628
2023-02-14,1722
2023-02-15,1792
2023-02-16,1786
2023-02-17,1789
2023-02-18,1799
2023-02-19,1825
2023-02-20,2007
2023-02-21,2242
2023-02-22,2293
2023-02-23,2321
2023-02-24,2319
2023-02-25,2310
2023-02-26,2308
2023-02-27,2357
2023-02-28,2334
2023-03-01,2295
2023-03-02,2276
2023-03-03,2285
2023-03-04,2209
2023-03-05,2279
2023-03-06,2412
2023-03-07,2222
2023-03-08,2196
2023-03-09,2179
2023-03-10,2298
2023-03-11,2230
2023-03-12,2299
2023-03-13,2265
2023-03-14,2250
2023-03-15,2192
2023-03-16,2179
2023-03-17,2212
2023-03-18,2269
2023-03-19,2402
2023-03-20,2464
2023-03-21,2420
2023-03-22,2422
2023-03-23,2388
2023-03-24,2686
2023-03-25,2599
2023-03-26,2528
2023-03-27,2419
2023-03-28,2452
2023-03-29,2274
2023-03-30,2343
2023-03-31,2364
2023-04-01,2422
2023-04-02,2439
2023-04-03,2506
2023-04-04,2520
2023-04-05,2601
2023-04-06,2650
2023-04-07,2585
2023-04-08,2590
2023-04-09,2461
2023-04-10,2365
2023-04-11,2521
2023-04-12,2596
2023-04-13,2506
