date,gasoline sell
2023-02-09,459087
2023-02-10,414264
2023-02-11,505041
2023-02-12,507720
2023-02-13,551207
2023-02-14,435742
2023-02-15,714136
2023-02-16,442733
2023-02-17,520012
2023-02-18,611611
2023-02-19,511580
2023-02-20,463129
2023-02-21,511148
2023-02-22,549309
2023-02-23,375172
2023-02-24,429776
2023-02-25,438354
2023-02-26,351823
2023-02-27,482474
2023-02-28,407848
2023-03-01,379565
2023-03-02,394853
2023-03-03,792916
2023-03-04,569774
2023-03-05,672686
2023-03-06,508889
2023-03-07,333343
2023-03-08,509758
2023-03-09,505540
2023-03-10,406785
2023-03-11,586536
2023-03-12,576594
2023-03-13,422208
2023-03-14,377211
2023-03-15,531087
2023-03-16,407909
2023-03-17,497307
2023-03-18,550296
2023-03-19,515904
2023-03-20,599497
2023-03-21,405794
2023-03-22,507390
2023-03-23,480159
2023-03-24,593627
2023-03-25,616420
2023-03-26,418760
2023-03-27,447524
2023-03-28,439455
2023-03-29,353094
2023-03-30,573480
2023-03-31,638336
2023-04-01,589633
2023-04-02,427242
2023-04-03,410934
2023-04-04,532965
2023-04-05,448086
2023-04-06,399875
2023-04-07,357332
2023-04-08,562319
2023-04-09,429848
2023-04-10,372310
2023-04-11,428126
2023-04-12,495731
2023-04-13,361277
2023-04-14,482272
2023-04-15,780078
2023-04-16,1442941
2023-04-17,783903
2023-04-18,392167
2023-04-19,633595
2023-04-20,516227
2023-04-21,454784
2023-04-22,644697
2023-04-23,509251
2023-04-24,519020
2023-04-25,1090547
2023-04-26,1008694
2023-04-27,680460
2023-04-28,612040
2023-04-29,496935
2023-04-30,428391
