date,uranium sell
2022-11-11,676483
2022-11-12,294241
2022-11-13,145472
2022-11-14,145379
2022-11-15,220618
2022-11-16,324909
2022-11-17,224558
2022-11-18,214692
2022-11-19,216970
2022-11-20,140920
2022-11-21,197965
2022-11-22,247713
2022-11-23,139093
2022-11-24,217282
2022-11-25,157935
2022-11-26,238871
2022-11-27,227114
2022-11-28,232696
2022-11-29,237576
2022-11-30,203976
2022-12-01,190901
2022-12-02,228074
2022-12-03,157794
2022-12-04,351219
2022-12-05,171842
2022-12-06,223991
2022-12-07,179823
2022-12-08,214645
2022-12-09,218214
2022-12-10,245602
2022-12-11,184382
2022-12-12,187612
2022-12-13,190111
2022-12-14,213172
2022-12-15,208332
2022-12-16,203815
2022-12-17,175960
2022-12-18,183478
2022-12-19,213899
2022-12-20,163179
2022-12-21,275925
2022-12-22,192120
2022-12-23,184359
2022-12-24,165182
2022-12-25,181967
2022-12-26,194589
2022-12-27,210200
2022-12-28,307785
2022-12-29,196246
2022-12-30,202687
2022-12-31,106027
2023-01-01,227148
2023-01-02,306415
2023-01-03,243380
2023-01-04,287060
2023-01-05,221275
2023-01-06,285363
2023-01-07,380102
2023-01-08,274151
2023-01-09,249635
2023-01-10,232659
2023-01-11,324616
2023-01-12,174730
2023-01-13,195364
2023-01-14,143050
2023-01-15,251622
2023-01-16,329681
2023-01-17,208114
2023-01-18,189615
2023-01-19,253536
2023-01-20,156686
2023-01-21,241238
2023-01-22,236253
2023-01-23,339398
2023-01-24,184979
2023-01-25,226243
2023-01-26,294603
2023-01-27,316237
2023-01-28,374590
2023-01-29,318504
2023-01-30,327813
2023-01-31,589087
2023-02-01,209812
2023-02-02,170724
2023-02-03,292920
2023-02-04,324964
2023-02-05,291096
