date,iron sell
2022-11-12,494093
2022-11-13,266466
2022-11-14,258210
2022-11-15,315710
2022-11-16,376680
2022-11-17,301648
2022-11-18,189379
2022-11-19,455878
2022-11-20,215095
2022-11-21,320833
2022-11-22,269914
2022-11-23,289149
2022-11-24,249724
2022-11-25,237280
2022-11-26,420179
2022-11-27,331635
2022-11-28,331070
2022-11-29,215079
2022-11-30,288326
2022-12-01,289172
2022-12-02,314265
2022-12-03,256166
2022-12-04,184050
2022-12-05,295889
2022-12-06,301455
2022-12-07,209107
2022-12-08,253756
2022-12-09,260529
2022-12-10,285649
2022-12-11,309163
2022-12-12,266889
2022-12-13,243641
2022-12-14,231392
2022-12-15,266616
2022-12-16,237765
2022-12-17,357263
2022-12-18,310137
2022-12-19,296755
2022-12-20,215127
2022-12-21,347921
2022-12-22,235869
2022-12-23,234540
2022-12-24,186960
2022-12-25,198906
2022-12-26,294540
2022-12-27,289688
2022-12-28,391674
2022-12-29,340994
2022-12-30,278418
2022-12-31,152109
2023-01-01,302778
2023-01-02,281802
2023-01-03,295426
2023-01-04,272546
2023-01-05,341378
2023-01-06,378986
2023-01-07,335572
2023-01-08,392182
2023-01-09,411338
2023-01-10,312504
2023-01-11,338254
2023-01-12,253562
2023-01-13,317083
2023-01-14,336899
2023-01-15,224679
2023-01-16,324018
2023-01-17,244701
2023-01-18,311584
2023-01-19,353282
2023-01-20,265184
2023-01-21,457493
2023-01-22,274273
2023-01-23,303056
2023-01-24,424580
2023-01-25,342575
2023-01-26,341961
2023-01-27,283192
2023-01-28,383516
2023-01-29,394532
2023-01-30,357590
2023-01-31,282390
2023-02-01,343240
2023-02-02,193059
